CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
123,0,123,YGD,YGD,,SFE,"Gold",,Settlement,"",0,,,USD,"","",1,,IIVIIVIIVIIV,1981-04-06,1989-07-18,"","",,"",1,0,0,0,1,
124,0,124,YGW,YGW,,SFE,"Wool(Greasy)",,Settlement,"",0,25,25,AUD,"2500 kilos","AUD cents/kg",1,25,IVIVIVIVIVIV,1995-03-13,2014-04-16,"","10:30 - 16:00",,"",0,0,0,0,1,
125,0,125,YLI,YLI,,SFE,"50 leaders Index",,Settlement,"",0,10,100,USD,"AUD 100 x Index","points",1,10,IIVIIVIIVIIV,1992-01-29,2003-02-03,"","",,"",1,0,0,0,1,
155,0,155,YLC,YLC,,SFE,"Cattle-Live",,Settlement,"",0,,,USD,"","",1,,VVVVVVVVVVVV,1986-05-12,1994-05-24,"","",,"",1,0,0,0,1,
225,0,225,YT1,YT1,XT,ASX,"10-Year Australian Govt Bond (6%)-(rounded #381)",,Settlement,"",1,94,9400,AUD,"AUD 100000","percent",1,94,IIVIIVIIVIIV,1984-12-05,2021-07-30,"","08:30 - 16:30",,"",2,0,1,0,1,133677
228,0,228,YBA,YBA,IR,ASX,"90 Day Australian Bank Bills",RTH,Settlement,"YBA,YB2,BB0",1,24,2400,AUD,"AUD 1000000","AUD/bas pt",1,24,IIVIIVIIVIIV,1980-01-02,2021-07-30,"","08:30 - 16:30",,"",2,0,1,0,1,73950
229,0,229,YUD,YUD,,SFE,"U.S. Dollar",,Settlement,"",0,,,USD,"","",1,,IIVIIVIIVIIV,1984-08-03,1991-09-23,"","",,"",4,0,0,0,1,
230,0,230,YIX,YIX,,SFE,"Australian Share Price Index",,Settlement,"",0,2.5,25,AUD,"AUD 25 x Index","points",1,2.5,IIVIIVIIVIIV,1983-02-16,2001-09-28,"","09:50 - 16:30",,"",1,0,1,0,0,
231,0,231,YTT,YTT,YT,ASX,"3-Year Australian Govt Bond (6%)",RTH,Settlement,"YTT,YT2,YR3",1,2.8,2800,AUD,"AUD 100000","percent",1,2.8,IIVIIVIIVIIV,1988-05-17,2021-07-30,"","08:30 - 16:30",,"",3,0,1,0,1,87404
232,0,232,YAP,YAP,AP,ASX,"SPI 200 Index",RTH,Settlement,"YAP,YA2,YA1",1,2.5,25,AUD,"AUD25 x Index","points",10,25,SSVSSVSSVSSV,2000-05-02,2021-07-30,"YIX starts at 1983-02-16","09:50 - 16:30",,"",1,0,1,0,1,26655
314,0,314,NFI,NFI,,NZFE,"Index-SPI-40 Capital",,Settlement,"",0,20,20,NZD,"NZD 20 x Index","points",1,20,IIVIIVIIVIIV,1992-09-18,1995-09-28,"","10:00 - 15:00",,"",0,0,1,0,1,
315,0,315,NGT,NGT,,NZFE,"New Zealand Govt Stock(5  Yr)",,Settlement,"",0,10,1000,USD,"NZD 100000","PERCENT",1,10,IIVIIVIIVIIV,1992-09-18,1993-06-16,"","08:05 - 17:00",,"",2,0,0,0,1,
316,0,316,NBB,NBB,BB,ASX,"90 Day New Zealand Bank Bills",Combined,Settlement,"NBB,NB1,NB2",1,24,2400,NZD,"NZD 1000000","NZD/bas pt",1,24,IIVIIVIIVIIV,1992-09-18,2021-07-30,"","17:10 - 16:30",,"",2,0,1,0,1,4251
332,0,332,NGV,NGV,TY,ASX,"3-Year New Zealand Govt Stock",,Settlement,"",0,10,1000,NZD,"NZD 100000","percent",1,10,IIVIIVIIVIIV,1993-06-10,2019-10-24,"","17:40 - 16:30",,"",2,0,1,0,1,
333,0,333,NGB,NGB,TN,ASX,"10-Year New Zealand Govt Stock",,Settlement,"",0,10,1000,NZD,"NZD 100000","percent",1,10,IIVIIVIIVIIV,1993-06-10,2019-10-24,"","17:40 - 16:30",,"",2,0,1,0,1,
