CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
131,0,131,FDX,FDX,FDAX,EUREX,"DAX Index",,Settlement,"",1,2.5,25,EUR,"EUR 25 x Index","points",10,25,IIVIIVIIVIIV,1990-11-23,2021-07-30,"","07:50 - 22:00",,"",1,0,1,0,1,67851
132,0,132,BDL,BDL,,DTB,"German Long Bund",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1990-11-23,1999-03-08,"","08:00 - 19:00",,"",2,0,0,0,0,
203,0,203,SIF,SIF,,SOFFEX,"Euro Swiss Franc",,Settlement,"",0,25,2500,CHF,"CHF 1000000","CHF/bas pt",1,25,IIVIIVIIVIIV,1991-03-22,1993-06-14,"","",,"",2,0,0,0,1,
214,0,214,SMI,SMI,FSMI,EUREX,"Swiss Market Index",,Settlement,"",1,1,10,CHF,"CHF 10 x Index","points",1,1,IIVIIVIIVIIV,1990-11-09,2021-07-30,"","07:50 - 22:00",,"",1,0,1,0,1,37476
288,0,288,BDM,BDM,,DTB,"German Bobl-Medium",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1991-10-04,1999-03-08,"","08:00 - 19:00",,"",2,0,0,0,0,
299,0,299,CON,CON,CONF,EUREX,"10-Year Swiss Govt Bond",,Settlement,"",1,10,1000,CHF,"CHF 100000","percent",1,10,IIVIIVIIVIIV,1992-05-29,2021-07-30,"","08:30 - 17:00",,"",2,0,1,0,1,25
302,0,302,LIC,LIC,,EUREX,"Euromark-3mth",,Settlement,"",0,2.5,2500,DEM,"DEM1000000","percent",5,12.5,SSVSSVSSVSSV,1997-01-14,2001-03-19,"","",,"",3,0,0,0,1,
306,0,306,BDS,BDS,,DTB,"German Schatz 2 Yr",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1997-03-07,1999-03-09,"","08:00 - 19:00",,"",2,0,0,0,0,
317,0,317,SMF,SMF,,SOFFEX,"Swiss Govt Bond-5 Yr",,Settlement,"",0,10,1000,CHF,"CHF100K","percent",1,10,IIVIIVIIVIIV,1991-10-03,1994-01-17,"","08:30 - 17:00",,"",2,0,0,0,1,
348,0,348,BXL,BXL,,DTB,"German Buxl-Extra Long",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1994-03-11,1995-06-08,"","08:00 - 17:30",,"",2,0,0,0,0,
349,0,349,DFI,DFI,,DTB,"FIBOR 3Mth",,Settlement,"",0,25,2500,DEM,"DEM1000000","DEM/bas pt",1,25,IIVIIVIIVIIV,1994-03-18,1996-12-17,"","08:45 - 17:15",,"",2,0,0,0,1,
380,0,380,FVD,FVD,,DTB,"VOLAX  Index",,Settlement,"",0,0.25,25,EUR,"EUR 25 x Index","points",1,0.25,IIVIIVIIVIIV,1998-01-19,1998-12-17,"","09:00 - 17:00",,"",2,0,0,0,1,
435,0,435,SMB,SMB,,SOFFEX,"Swiss Govt Bond-Medium",,Settlement,"",0,10,1000,CHF,"CHF 100000","percent",1,10,IIVIIVIIVIIV,1996-06-21,1999-05-07,"","08:30 - 17:00",,"",2,0,0,0,1,
443,0,443,MDX,MDX,F2MX,EUREX,"DAX Midcap Index",,Settlement,"",1,0.5,5,EUR,"EUR 5 x Index","points",1,0.5,IIVIIVIIVIIV,1996-09-23,2021-07-30,"","07:50 - 22:00",,"",1,0,1,0,1,65
446,0,446,LIB,LIB,,EUREX,"Euromark-1 Mth",,Settlement,"",0,25,25000,DEM,"DEM 3000000","DEM/bas pt",5,125,VVVVVVVVVVVV,1996-11-12,1998-12-15,"","",,"",3,0,0,0,1,
529,0,529,SXX,SXX,FSTX,EUREX,"DJ STOXX 50 Index",,Settlement,"",1,1,10,EUR,"EUR 10 x Index","points",1,1,IIVIIVIIVIIV,1998-06-22,2021-07-30,"","07:50 - 22:00",,"",1,0,1,0,1,328
530,0,530,SXE,SXE,FESX,EUREX,"Euro STOXX 50 Index",,Settlement,"",1,1,10,EUR,"EUR 10 x Index","points",10,10,IIVIIVIIVIIV,1998-06-22,2021-07-30,"","07:50 - 22:00",,"",1,0,1,0,1,713757
531,0,531,JUM,JUM,,DTB,"German Pfandbrief-Medium Jumbo",,Settlement,"",0,25,2500,DEM,"DEM 250000","percent",1,25,IIVIIVIIVIIV,1998-07-06,1999-02-26,"","08:00 - 19:00",,"",2,0,0,0,0,
545,0,545,FEJ,FEJ,,EUREX,"EURIBOR-1 Mth",,Settlement,"",0,2.5,2500,EUR,"EUR 3000000","percent",5,12.5,VVVVVVVVVVVV,1998-09-18,2004-03-16,"","08:45 - 17:15",,"",3,0,1,0,1,
546,0,546,EEI,EEI,FEU3,EUREX,"3-Month EURIBOR",,Settlement,"",1,2.5,2500,EUR,"EUR 1000000","percent",5,12.5,SSVSSVSSVSSV,1998-09-18,2021-07-30,"","08:00 - 19:00",,"",3,0,1,0,1,0
547,0,547,FLI,FLI,,EUREX,"Euro LIBOR-3 Mth",,Settlement,"",0,2.5,2500,EUR,"EUR 1000000","percent",5,12.5,SSVSSVSSVSSV,1998-09-18,1999-09-13,"","08:45 - 17:15",,"",3,0,0,0,1,
551,0,551,EBX,EBX,FGBX,EUREX,"Euro Buxl (4%)",,Settlement,"",1,10,1000,EUR,"EUR 100000","points",2,20,IIVIIVIIVIIV,1998-10-02,2021-07-30,"","08:00 - 22:00",,"",2,0,1,0,1,65131
552,0,552,EBL,EBL,FGBL,EUREX,"Euro German Bund",,Settlement,"",1,10,1000,EUR,"EUR100000","percent",1,10,IIVIIVIIVIIV,1998-10-05,2021-07-30,"BDL starts at 1990-11-23","08:00 - 22:00",,"",2,0,1,0,1,577999
553,0,553,EBM,EBM,FGBM,EUREX,"Euro German Bobl",,Settlement,"",1,1,1000,EUR,"EUR100000","percent",10,10,IIVIIVIIVIIV,1998-10-05,2021-07-30,"BDM starts at 1991-10-04","08:00 - 22:00",,"",3,0,1,0,1,331671
554,0,554,EBS,EBS,FGBS,EUREX,"Euro German Schatz",,Settlement,"",1,1,1000,EUR,"EUR100000","percent",5,5,IIVIIVIIVIIV,1998-10-05,2021-07-30,"BDS starts at 1997-03-07","08:00 - 22:00",,"",3,0,1,0,1,180186
555,0,555,EBJ,EBJ,,EUREX,"Euro German Pfand",,Settlement,"",0,10,1000,EUR,"EUR 100000","percent",1,10,IIVIIVIIVIIV,1998-10-05,1999-03-03,"JUM starts at 1998-07-06","08:00 - 19:00",,"",2,0,0,0,0,
600,0,600,EOX,EOX,FFOX,EUREX,"OMX Helsinki 25",,Settlement,"",1,0.1,10,EUR,"EUR10 x INDEX","points",10,1,IIVIIVIIVIIV,2000-01-19,2021-07-30,"FOX starts at 1995-08-24","07:50 - 22:00",,"",2,0,1,0,1,723
629,0,629,FN5,FN5,,EUREX,"Nemax 50 Index",,Settlement,"",0,0.1,1,EUR,"EUR1 x Index","points",10,1,IIVIIVIIVIIV,2000-06-19,2005-01-06,"","08:50 - 20:00",,"",1,0,1,0,1,
900,0,900,TNS,TNS,,EUS,"T-Note-US 2 Yr",,Settlement,"",0,6.25,2000,USD,"$200000","points",2.5,15.625,IIVIIVIIVIIV,2004-02-09,2007-09-27,"","19:00 - 16:00",,"",-8,0,0,0,1,
901,0,901,TNM,TNM,,EUS,"T-Note-US 5 Yr",,Settlement,"",0,15.625,1000,USD,"$100000","points",1,15.625,IIVIIVIIVIIV,2004-02-09,2008-01-02,"","19:00 - 16:00",,"",-4,0,0,0,1,
902,0,902,TNL,TNL,,EUS,"T-Note-US 10 Yr",,Settlement,"",0,15.625,1000,USD,"$100000","points",1,15.625,IIVIIVIIVIIV,2004-02-09,2008-01-02,"","19:00 - 16:00",,"",-4,0,0,0,1,
903,0,903,TBX,TBX,,EUS,"T-Note-US 30 Yr",,Settlement,"",0,15.625,1000,USD,"$100000","points",1,15.625,IIVIIVIIVIIV,2004-02-09,2008-04-30,"","19:00 - 16:00",,"",-4,0,0,0,1,
955,0,955,FSB,FSB,FSTB,EUREX,"STOXX Europe 600 Banks",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2005-02-02,2021-07-30,"","07:50 - 22:00",,"",2,0,1,0,1,10105
979,0,979,TDX,TDX,FTDX,EUREX,"TecDAX Index",,Settlement,"",1,0.1,10,EUR,"EUR 10 x Index","points",50,5,IIVIIVIIVIIV,2005-11-30,2021-07-30,"","07:50 - 22:00",,"",2,0,1,0,1,88
993,0,993,F2X,F2X,FDAX,EUREX,"DAX Index",,Last,"",1,2.5,25,EUR,"EUR 25 x Index","points",10,25,IIVIIVIIVIIV,2006-03-06,2021-07-30,"FDX starts at 1990-11-23","07:50 - 22:00",,"",1,0,1,0,1,67851
994,0,994,S2E,S2E,FESX,EUREX,"Dow Jones Euro Stoxx 50 Index",,Last,"",1,1,10,EUR,"EUR 10 x Index","points",10,10,IIVIIVIIVIIV,2006-03-06,2021-07-30,"SXE starts at 1998-06-22","07:50 - 22:00",,"",1,0,1,0,1,713757
995,0,995,E2L,E2L,FGBL,EUREX,"Euro German Bund",,Last,"",1,10,1000,EUR,"EUR 100000","percent",1,10,IIVIIVIIVIIV,2006-03-06,2021-07-30,"EBL starts at 1998-10-05","08:00 - 22:00",,"",2,0,1,0,1,577999
996,0,996,E2M,E2M,FGBM,EUREX,"Euro German Bobl",,Last,"",1,1,1000,EUR,"EUR 100000","percent",10,10,IIVIIVIIVIIV,2006-03-06,2021-07-30,"EBM starts at 1998-10-05","08:00 - 22:00",,"",3,0,1,0,1,331671
997,0,997,E2S,E2S,FGBS,EUREX,"Euro German Schatz",,Last,"",1,1,1000,EUR,"EUR 100000","percent",5,5,IIVIIVIIVIIV,2006-03-06,2021-07-30,"EBS starts at 1998-10-05","08:00 - 22:00",,"",3,0,1,0,1,180186
100084,0,1084,DEE,DEE,FESE,EUREX,"Euro STOXX Oil & Gas",,Settlement,"",1,0.5,50,EUR,"EUR 50 x index","points",10,5,IIVIIVIIVIIV,2006-11-29,2021-07-30,"","07:50 - 22:00",,"",2,0,1,0,1,286
